treeid,spnum,spname,spcode,site,aspect,sitequal,timbersale,dominance,baselineBA,baselinedbh,tension,year,month,growth,rain,temp,baselineBAind,newdbh,newsize,marggrow
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2016,May,0,3.24,62.07142857,,,,
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2016,May,NA,NA,NA,,,,
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2016,May,NA,NA,NA,,,,
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2016,May,NA,NA,NA,,,,
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2016,May,NA,NA,NA,,,,
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2016,May,NA,NA,NA,,,,
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2016,May,NA,NA,NA,,,,
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2016,May,NA,NA,NA,,,,
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2016,May,NA,NA,NA,,,,
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,Jun,7,3.08,81.83783784,,,,
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2016,Jun,6,3.08,81.83783784,,,,
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,Jun,2,3.08,81.83783784,,,,
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,Jun,2,3.08,81.83783784,,,,
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2016,Jun,1,3.08,81.83783784,,,,
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2016,Jun,13,3.08,81.83783784,,,,
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2016,Jun,5,3.08,81.83783784,,,,
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2016,Jun,0,3.08,81.83783784,,,,
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2016,Jun,0,3.08,81.83783784,,,,
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2016,Jun,2,3.08,81.83783784,,,,
