treeid,spnum,spname,spcode,site,aspect,sitequal,timbersale,dominance,baselinestandBA,baselineinddbh,tension,year,month,growth,rain,temp,olddbh,oldBA,newdbh,newBA,mardbh,marba
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2015,sep,NA,NA,NA,11.3,100.2874068,NA,NA,NA,NA
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2015,sep,NA,NA,NA,16.6,216.4241351,NA,NA,NA,NA
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2015,sep,NA,NA,NA,14.5,165.1298244,NA,NA,NA,NA
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2015,sep,NA,NA,NA,12.6,124.6897071,NA,NA,NA,NA
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2015,sep,NA,NA,NA,17.5,240.5279844,NA,NA,NA,NA
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2015,sep,NA,NA,NA,20.9,343.069482,NA,NA,NA,NA
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2015,sep,0,4.736666667,82.17582418,16.5,213.8244694,16.5,213.8244694,0,0
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2015,sep,0,4.736666667,82.17582418,4.5,15.90429938,4.5,15.90429938,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2015,sep,NA,NA,NA,13.6,145.2671216,NA,NA,NA,NA
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2015,sep,4.3333,4.736666667,82.17582418,15.2,181.4582384,19.5333,299.668266,4.3333,118.2100276
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2015,sep,NA,NA,NA,13.9,151.746651,NA,NA,NA,NA
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2015,sep,NA,NA,NA,15.4,186.2648711,NA,NA,NA,NA
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2015,sep,NA,NA,NA,25.5,510.7047244,NA,NA,NA,NA
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2015,sep,NA,NA,NA,15.3,183.8537008,NA,NA,NA,NA
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2015,sep,NA,NA,NA,10.8,91.6087644,NA,NA,NA,NA
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2015,sep,NA,NA,NA,11.1,96.76882598,NA,NA,NA,NA
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2015,sep,NA,NA,NA,15.3,183.8537008,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2015,sep,NA,NA,NA,9.6,72.3822336,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2015,sep,NA,NA,NA,11.9,111.22014,NA,NA,NA,NA
